"%customer_name,","%customer_name,",theme,frontend/Magento/luma
"%name,","%name,",theme,frontend/Magento/luma
The field isn't complete.,الحقل ليس كاملا.,module,Magento_Catalog
Option required.,الخيار مطلوب.,module,Magento_Catalog
Go to Home Page,الذهاب الى الصفحة الرئيسية,module,Magento_Catalog
Visibility,الرؤية,module,Magento_Catalog
Home,الرئيسية,module,Magento_Catalog
Please confirm site switching. All data that hasn't been saved will be lost.,الرجاء التأكد من تحويل الموقع. سيتم فقدان جميع البيانات التي لم يتم حفظها.,module,Magento_Catalog
Bottom/Left,الزرار/يسار,module,Magento_Catalog
Bottom/Right,الزرار/يمين,module,Magento_Catalog
Prev,السابق,module,Magento_Catalog
Default Price,السعر الإفتراضي,module,Magento_Catalog
Enable Qty Increments,السماح بزيادة الكمية,module,Magento_Catalog
Allow Multiple Boxes for Shipping,السماح لصناديق متعددة للشحن,module,Magento_Catalog
"Attribute ""%1"" is required.","السمة ""%1"" مطلوبة.",module,Magento_Catalog
Invalid attribute %1,السمة %1 غير صالحة,module,Magento_Catalog
An attribute with this code already exists.,السمة بهذا الكود موجودة بالفعل.,module,Magento_Catalog
The image does not exist.,الصورة غير موجودة.,module,Magento_Catalog
Operation do not allow to move a parent category to any of children category,العملية لا تسمح بتحريك فئة الأصل إلى أي من الفئة الفرعية,module,Magento_Catalog
Parent Category,الفئة الأم,module,Magento_Catalog
Add Root Category,الفئة الرئيسية,module,Magento_Catalog
Default Value,القيمة الإفتراضية,module,Magento_Catalog
Default Values,القيمة الإفتراضية,module,Magento_Catalog
Unique Value,القيمة الفريدة,module,Magento_Catalog
"Catalog, Search","الكاتالوج, بحث",module,Magento_Catalog
All,الكل,module,Magento_Catalog
Qty Uses Decimals,الكمية تستخدم الكسور العشرية,module,Magento_Catalog
"Group with id ""%1"" does not exist.","المجموعة المعرفة ب""%1""  ليست موجودة.",module,Magento_Catalog
More Choices:,المزيد من الخيارات:,module,Magento_Catalog
Used in Product Listing,المستخدمة في قائمة المنتجات,module,Magento_Catalog
File '%1' is not an image.,الملف '%1' ليس صورة.,module,Magento_Catalog
The file is empty. Please choose another one,الملف فارغ. الرجاء اختيار واحد آخر,module,Magento_Catalog
Requested product doesn't exist,المنتج المطلوب غير موجود,module,Magento_Catalog
Requested product does not support images.,المنتج المطلوب لا يدعم الصور.,module,Magento_Catalog
Product online,المنتج على الانترنت,module,Magento_Catalog
Product in Websites,المنتج في المواقع,module,Magento_Catalog
Product In Websites,المنتج في المواقع,module,Magento_Catalog
The product has required options.,المنتج له خيارات مطلوبة.,module,Magento_Catalog
The text is too long.,النص طويل جدا.,module,Magento_Catalog
To,الى,module,Magento_Catalog
Compatible file extensions to upload,امتدادات الملفات المتوافقة للتحميل,module,Magento_Catalog
Special Expires On: %1,انتهاء مدة الصلاحية الخاصة في: %1,module,Magento_Catalog
Double click on a group to rename it.,انقر مرتين على مجموعة لإعادة تسميتها.,module,Magento_Catalog
Search,بحث,module,Magento_Catalog
Search Engine Optimization,بحث Engine Optimization,module,Magento_Catalog
Please make sure to define SKU values for all processed products.,برجاء التأكد من تحديد قيمة SKU لجميع المنتجات المتعالجة,module,Magento_Catalog
Please leave blank if it is not an image.,برجاء الترك فارغا إذا لم تكن صورة.,module,Magento_Catalog
Please select a static block.,برجاء تحديد بلوك ثابتة,module,Magento_Catalog
Please select products for attributes update.,برجاء تحديد منتجات لتحديث السمات.,module,Magento_Catalog
Some of the selected item options are not currently available.,بعض خيارات العنصر المحدد غير متوفرة حاليا.,module,Magento_Catalog
px.,بكسل,module,Magento_Catalog
Static block only,بلوك ثابتة فقط,module,Magento_Catalog
Static block and products,بلوك ثابتة ومنتجات,module,Magento_Catalog
Invalid data provided for tier_price,بيانات غير صالحة مقدمة للحصول على مستوى السعر,module,Magento_Catalog
Invalid data provided for linked products,بيانات غير صالحة مقدمة للمنتجات المرتبطة,module,Magento_Catalog
Make sure the To Date is later than or the same as the From Date.,تأكد من أن (إلى تاريخ) أحدث من أو نفس (من تاريخ).,module,Magento_Catalog
Subscribe Date,تاريخ الاشتراك,module,Magento_Catalog
This group contains system attributes. Please move system attributes to another group and try again.,تحتوي هذه المجموعة على سمات النظام. الرجاء نقل سمات النظام إلى مجموعة أخرى وحاول مرة أخرى.,module,Magento_Catalog
Schedule Update From,تحديث الجدول الزمني من,module,Magento_Catalog
Update Attributes,تحديث السمات,module,Magento_Catalog
Select All,تحديد الكل,module,Magento_Catalog
select all,تحديد الكل,module,Magento_Catalog
Select type options required values rows.,تحديد خيارات النوع يتطلب قيم الصفوف.,module,Magento_Catalog
Multiple Select,تحديد متعدد,module,Magento_Catalog
Loading...,تحميل...,module,Magento_Catalog
Sort Custom Options,ترتيب الخيار المخصص,module,Magento_Catalog
Sort Custom Option,ترتيب الخيار المخصص,module,Magento_Catalog
Sort By,ترتيب ب,module,Magento_Catalog
Used for Sorting in Product Listing,تستخدم للترتيب في قائمة المنتجات,module,Magento_Catalog
Advanced Pricing,تسعير متقدم,module,Magento_Catalog
Attribute Label,تسمية السمة ,module,Magento_Catalog
frontend_label,تسمية الواجهة,module,Magento_Catalog
Layout,تصميم,module,Magento_Catalog
Edit,تعديل,module,Magento_Catalog
Edit Attribute Set Name,تعديل اسم مجموعة الصفات ,module,Magento_Catalog
Edit Product Attribute,تعديل سمة المنتج,module,Magento_Catalog
"Edit Product Attribute ""%1""","تعديل سمة المنتج ""%1""",module,Magento_Catalog
Edit Attribute Set '%1',تعديل مجموعة الصفات '%1',module,Magento_Catalog
ID,تعريف,module,Magento_Catalog
Disabled,تعطلت,module,Magento_Catalog
Disable,تعطيل,module,Magento_Catalog
Set Product as New From,تعيين المنتج كنموذج جديد,module,Magento_Catalog
Change,تغيير,module,Magento_Catalog
Change Status,تغيير الحالة,module,Magento_Catalog
Done,تم,module,Magento_Catalog
Changes have been made to this section that have not been saved.,تم إجراء تغييرات في هذا المقطع الذي لم يتم حفظها.,module,Magento_Catalog
Enabled,تمكين,module,Magento_Catalog
Enable,تمكين,module,Magento_Catalog
Product Alerts,تنبيهات المنتج,module,Magento_Catalog
Stock Availability,توافر المخزون,module,Magento_Catalog
Expand All,توسيع الكل,module,Magento_Catalog
Declare attribute value saving scope.,توضيح قيمة السمة توفر النطاق,module,Magento_Catalog
Fixed,ثابت,module,Magento_Catalog
Root,جذر,module,Magento_Catalog
All Store Views,جميع المتاجر,module,Magento_Catalog
ALL GROUPS,جميع المجموعات,module,Magento_Catalog
All Websites,جميع المواقع الافتراضية,module,Magento_Catalog
Status,حالة,module,Magento_Catalog
Product online status,حالة المنتج عبر الإنترنت,module,Magento_Catalog
Size for %1,حجم %1,module,Magento_Catalog
Image Size,حجم الصورة,module,Magento_Catalog
Out-of-Stock Threshold,حد نفاذ المخزون,module,Magento_Catalog
Something went wrong while getting the image url.,حدث خطأ ما أثناء الحصول على رابط الصورة.,module,Magento_Catalog
Something went wrong while updating the product(s) status.,حدث خطأ ما أثناء تحديث حالة المنتجات.,module,Magento_Catalog
Something went wrong while saving the category.,حدث خطأ ما أثناء حفظ الفئة.,module,Magento_Catalog
Something went wrong while saving the file(s).,حدث خطأ ما أثناء حفظ الملفات.,module,Magento_Catalog
Something went wrong while trying to delete the category.,حدث خطأ ما أثناء محاولة حذف هذه الفئة.,module,Magento_Catalog
Something went wrong while updating the product(s) attributes.,حدث خطأ ما اثناء تحديث سمات المنتجات.,module,Magento_Catalog
Something went wrong while saving the attribute.,حدث خطأ ما اثناء حفظ السمة..,module,Magento_Catalog
Something went wrong while saving this group.,حدث خطأ ما اثناء حفظ المجموعة.,module,Magento_Catalog
Something went wrong while saving the attribute set.,حدث خطأ ما اثناء حفظ مجموعة السمات.,module,Magento_Catalog
Something went wrong  clearing the comparison list.,حدث خطأ ما اثناء مسح  قائمة المقارنة.,module,Magento_Catalog
"Select ""Yes"" to add this attribute to the list of filter options in the product grid.","حدد "" نعم "" لإضافة هذه السمة إلى قائمة خيارات التصفية في الشبكة المنتج.",module,Magento_Catalog
Select Attribute,حدد السمة,module,Magento_Catalog
Select Product...,حدد المنتج ...,module,Magento_Catalog
Select Product,حدد منتج,module,Magento_Catalog
Select...,حدد...,module,Magento_Catalog
Delete,حذف,module,Magento_Catalog
Delete Custom Option,حذف الخيار المخصص,module,Magento_Catalog
Delete Tier,حذف الشق,module,Magento_Catalog
Delete Row,حذف الصف,module,Magento_Catalog
Delete Selected Group,حذف المجموعة المحددة,module,Magento_Catalog
Remove Product From Websites,حذف المنتج للموقع الالكتروني,module,Magento_Catalog
Remove This Item,حذف هذا البند,module,Magento_Catalog
OK,حسنا,module,Magento_Catalog
Save,حفظ,module,Magento_Catalog
Save Attribute,حفظ السمة,module,Magento_Catalog
Save in New Attribute Set,حفظ في تعيين سمة جديدة,module,Magento_Catalog
Save & New,حفظ وإضافة جديد,module,Magento_Catalog
Save & Edit,حفظ وتعديل,module,Magento_Catalog
Save & Duplicate,حفظ وتكرير ,module,Magento_Catalog
Save & Close,حفظ وغلق,module,Magento_Catalog
Save and Continue Edit,حفظ ومتابعة التعديل,module,Magento_Catalog
Attribute Properties,خصائص السمة,module,Magento_Catalog
Advanced Attribute Properties,خصائص السمة المتقدمة,module,Magento_Catalog
Back,خلف,module,Magento_Catalog
Properties,خواص,module,Magento_Catalog
Attributes,خواص,module,Magento_Catalog
System Properties,خواص النظام,module,Magento_Catalog
Sort Option,خيار الترتيب,module,Magento_Catalog
New Option,خيار جديد,module,Magento_Catalog
Import Options,خيارات الاستيراد,module,Magento_Catalog
Shopping Options,خيارات التسوق,module,Magento_Catalog
Customizable Options,خيارات للتخصيص,module,Magento_Catalog
Custom Options,خيارات مخصصة,module,Magento_Catalog
Custom options let customers choose the product variations they want.,خيارات مخصصة تتيح للعملاء اختيار اختلافات المنتج الذي يريدونه.,module,Magento_Catalog
Image Resolution,دقة الصورة,module,Magento_Catalog
Role,دور,module,Magento_Catalog
message,رسالة,module,Magento_Catalog
Qty Increments,زيادة الكمية,module,Magento_Catalog
Price,سعر,module,Magento_Catalog
Item Price,سعر العنصر,module,Magento_Catalog
Special Price,سعر خاص,module,Magento_Catalog
Special Price From,سعر خاص من,module,Magento_Catalog
Special Price: %1,سعر خاص: %1,module,Magento_Catalog
Regular Price,سعر عادي,module,Magento_Catalog
Price: %1,سعر: %1,module,Magento_Catalog
Unassigned Attributes,سمات غير معينة,module,Magento_Catalog
An attribute with the same code (%1) already exists.,سمة بنفس الكود (%1) موجودة بالفعل.,module,Magento_Catalog
New Attribute,سمة جديدة,module,Magento_Catalog
New Product Attribute,سمة منتج جديدة,module,Magento_Catalog
Year,سنة,module,Magento_Catalog
Grid,شبكة,module,Magento_Catalog
Grid Only,شبكة فقط,module,Magento_Catalog
The file options format is not valid.,شكل خيارات الملف غير صالح.,module,Magento_Catalog
Month,شهر,module,Magento_Catalog
AM,صباحا,module,Magento_Catalog
Product Attributes,صفات المنتج,module,Magento_Catalog
Storefront Properties,صفات واجهة المتجر,module,Magento_Catalog
Images,صور,module,Magento_Catalog
"Images (.gif, .jpg, .png)","صور (.gif, .jpg, .png)",module,Magento_Catalog
Image,صورة,module,Magento_Catalog
Thumbnail,صورة مصغرة,module,Magento_Catalog
Media Image,صورةاعلانية,module,Magento_Catalog
Collapse All,ضم الكل,module,Magento_Catalog
Tier Price,طبقة الأسعار,module,Magento_Catalog
Tier Pricing,طبقة التسعير,module,Magento_Catalog
Global,عالمي,module,Magento_Catalog
Cross-Sell Products,عبر بيع المنتجات,module,Magento_Catalog
Unselect All,عدم تحديد الكل,module,Magento_Catalog
unselect all,عدم تحديد الكل,module,Magento_Catalog
"Sorry, we're unable to complete this request.",عذرا، لكننا غير قادرين على إكمال هذا الطلب.,module,Magento_Catalog
"Sorry, but we can't find the new parent category you selected.",عذرا، لكننا لا يمكن العثور على الفئة الأم الجديدة التي حددتها.,module,Magento_Catalog
"Sorry, but we can't find the new category you selected.",عذرا، لكننا لا يمكن العثور على فئة جديدة قمت بتحديدها.,module,Magento_Catalog
Submit,عرض,module,Magento_Catalog
Store View,عرض المتجر,module,Magento_Catalog
Action,عمل,module,Magento_Catalog
1 item,عنصر 1,module,Magento_Catalog
Title,عنوان,module,Magento_Catalog
Option Title,عنوان الخيار,module,Magento_Catalog
Close Window,غلق النافذة,module,Magento_Catalog
Unable to save product,غير قابل على حفظ المنتج,module,Magento_Catalog
N/A,غير قابل للتطبيق,module,Magento_Catalog
Unable to remove product %1,غير قادر على إزالة المنتج ٪1,module,Magento_Catalog
Unable to add attribute,غير قادر على إضافة سمة,module,Magento_Catalog
Not shared with other products.,غير مشتركة مع غيرها من المنتجات,module,Magento_Catalog
Categories,فئات,module,Magento_Catalog
Category,فئة,module,Magento_Catalog
New Category,فئة جديدة,module,Magento_Catalog
Category is not available for requested store.,فئة غير متاحة للمخزن المطلوب.,module,Magento_Catalog
Empty,فارغ,module,Magento_Catalog
The file upload failed.,فشل تحميل الملف.,module,Magento_Catalog
Failed to save new media gallery entry.,فشل في حفظ المدخلة الجديدة لمعرض الإعلام.,module,Magento_Catalog
Products only,فقط المنتجات,module,Magento_Catalog
In Stock,في المخزون,module,Magento_Catalog
In stock,في المخزون,module,Magento_Catalog
per page,في كل صفحة,module,Magento_Catalog
List,قائمة,module,Magento_Catalog
List Only,قائمة فقط,module,Magento_Catalog
Products Comparison List,قائمة مقارنة المنتجات,module,Magento_Catalog
Searchable,قابل للبحث,module,Magento_Catalog
Comparable,قابل للمقارنة,module,Magento_Catalog
Next,قادم,module,Magento_Catalog
Compare,قارن,module,Magento_Catalog
Compare Products,قارن المنتجات,module,Magento_Catalog
Template,قالب,module,Magento_Catalog
Catalog,كاتالوج,module,Magento_Catalog
Mass Actions,كتلة الأعمال,module,Magento_Catalog
Quantity,كمية,module,Magento_Catalog
Qty,كمية,module,Magento_Catalog
Attribute Code,كود السمة,module,Magento_Catalog
"To hide an item in catalog or search results, set the status to ""Disabled"".","لإخفاء عنصر في الكتالوج أو نتائج البحث، عين الحالة إلى ""معطل"".",module,Magento_Catalog
No,لا,module,Magento_Catalog
Category does not contain specified product,لا تحتوي الفئة على المنتج المحدد,module,Magento_Catalog
No layout updates,لا توجد تحديثات للتخطيط,module,Magento_Catalog
None,لا شىء,module,Magento_Catalog
none,لا شىء,module,Magento_Catalog
We can't move the category because the parent category name matches the child category name.,لا نستطيع أن نحرك الفئة لأن اسم الفئة الأم يطابق اسم الفئة الفرعية.,module,Magento_Catalog
We can't delete this set right now.,لا نستطيع حذف هذه المجموعة فى الوقت الحالي.,module,Magento_Catalog
Could not remove custom option,لا يمكن إزالة الخيار المخصص ,module,Magento_Catalog
The image cannot be removed as it has been assigned to the other image role,لا يمكن إزالة الصورة لأنه تم تعيينها إلى دور صورة أخرى,module,Magento_Catalog
Can not create attribute set based on not existing attribute set,لا يمكن إنشاء مجموعة سمات تستند على عدم مجموعة سمات موجودة,module,Magento_Catalog
Could not move category,لا يمكن تحريك الفئة,module,Magento_Catalog
Can't delete root category.,لا يمكن حذف الفئة الجذر.,module,Magento_Catalog
Cannot delete category with id %1,لا يمكن حذف الفئة بالمعرف %1,module,Magento_Catalog
Attribute group that contains system attributes can not be deleted,لا يمكن حذف مجموعة السمات التي تحتوي على سمات النظام,module,Magento_Catalog
Could not save category: %1,لا يمكن حفظ الفئة: %1,module,Magento_Catalog
"Could not save product ""%1"" with position %2 to category %3","لا يمكن حفظ المنتج ""%1 "" في المكان %2 إلى الفئة %3 ",module,Magento_Catalog
Cannot save product.,لا يمكن حفظ المنتج.,module,Magento_Catalog
Could not save group price,لا يمكن حفظ سعر مجموعة,module,Magento_Catalog
You can't remove attributes from this attribute set.,لا يمكنك إزالة السمات من مجموعة السمات هذه.,module,Magento_Catalog
We can't find the image file.,لا يمكننا العثور على ملف الصورة.,module,Magento_Catalog
There is no image with provided ID.,لا يوجد أي صورة بالمعرف المقدم.,module,Magento_Catalog
There are no customers for this alert.,لا يوجد عملاء لهذا التنبيه,module,Magento_Catalog
You have no items to compare.,لا يوجد لديك عناصر للمقارنة.,module,Magento_Catalog
Such product doesn't exist,لا يوجد مثل هذا المنتج,module,Magento_Catalog
Such image doesn't exist,لا يوجد مثل هذه الصورة,module,Magento_Catalog
You added product %1 to the comparison list.,لقد اضفت المنتج %1 الى قائمة المقارنة.,module,Magento_Catalog
You removed product %1 from the comparison list.,لقد حدفت المنتج %1 من قائمة المقارنة.,module,Magento_Catalog
You deleted the product attribute.,لقد حذفت سمة المنتج.,module,Magento_Catalog
You saved the category.,لقد حفظت الفئة.,module,Magento_Catalog
You saved the product.,لقد حفظت المنتج.,module,Magento_Catalog
You saved the product attribute.,لقد حفظت سمة المنتج.,module,Magento_Catalog
You saved the attribute set.,لقد حفظت مجموعة السمات,module,Magento_Catalog
You duplicated the product.,لقد كررت المنتج.,module,Magento_Catalog
You deleted the category.,لقد مسحت الفئة,module,Magento_Catalog
You cleared the comparison list.,لقد مسحت قائمة المقارنة,module,Magento_Catalog
You moved the category,لقد نقلت الفئة,module,Magento_Catalog
For internal use,للاستخدام الداخلي,module,Magento_Catalog
We can't find an attribute to delete.,لم نتمكن من إيجاد السمة لمسحها,module,Magento_Catalog
We can't update the attribute.,لم نتمكن من تحديث السمة.,module,Magento_Catalog
We can't delete the attribute.,"لم نتمكن من حذف السمة""",module,Magento_Catalog
We couldn't move this file: %1.,لم نتمكن من نقل هذا الملف: %1.,module,Magento_Catalog
Product is not loaded,لم يتم تحميل المنتج,module,Magento_Catalog
Store was not registered,لم يتم تسجيل المتجر,module,Magento_Catalog
Product was not registered,لم يتم تسجيل المنتج,module,Magento_Catalog
Collection provider is not registered,لم يتم تسجيل مزود المجموعة,module,Magento_Catalog
The attribute model is not defined.,لم يتم تعريف نموذج السمة.,module,Magento_Catalog
Not Visible Individually,ليست مرئية بشكل فردي,module,Magento_Catalog
There are not websites for assign to product,ليست هناك مواقع للإسناد إلى المنتج,module,Magento_Catalog
Based On,مبني على,module,Magento_Catalog
A total of %1 record(s) have been updated.,مجموع %1 من التسجيلات قد تم تحديثها.,module,Magento_Catalog
A total of %1 record(s) have been deleted.,مجموع %1 من التسجيلات قد تم حذفها.,module,Magento_Catalog
A total of %1 record(s) were updated.,مجموع %1 من المحفوظات حدثت ,module,Magento_Catalog
Groups,مجموعات,module,Magento_Catalog
Attribute Sets,مجموعات الصفات,module,Magento_Catalog
Provided Attribute set non product Attribute set.,مجموعة السمات المقدمة ليست مجموعة سمات للمنتج,module,Magento_Catalog
An attribute set named '%1' already exists.,مجموعة السمات باسم '%1' موجودة بالفعل.,module,Magento_Catalog
The attribute set has been removed.,مجموعة السمات تم مسحها.,module,Magento_Catalog
Attribute Set already exists.,مجموعة السمات موجودة بالفعل.,module,Magento_Catalog
"An attribute group named ""/name/"" already exists"".","مجموعة السمة المسماة ""/name/"" موجودة بالفعل "".",module,Magento_Catalog
This attribute set no longer exists.,مجموعة السمة هذه لم تعد موجودة,module,Magento_Catalog
Attribute Set,مجموعة الصفات,module,Magento_Catalog
Customer Group,مجموعة العملاء,module,Magento_Catalog
A group with the same name already exists.,مجموعة بنفس الاسم موجودة بالفعل,module,Magento_Catalog
New Set,مجموعة جديدة,module,Magento_Catalog
New Attribute Set,مجموعة سمات جديدة,module,Magento_Catalog
Content,محتوى,module,Magento_Catalog
The image content is not valid.,محتوى الصورة غير صالح.,module,Magento_Catalog
Advanced Inventory,مخزون متطور,module,Magento_Catalog
Hidden,مخفي,module,Magento_Catalog
Visible,مرئي,module,Magento_Catalog
Visible in Advanced Search,مرئي في البحث المتطور,module,Magento_Catalog
Visible on Catalog Pages on Storefront,مرئية على صفحات الكتالوج على واجهة المتجر,module,Magento_Catalog
Center,مركز,module,Magento_Catalog
PM,مساءا,module,Magento_Catalog
Clear Price,مسح السعر,module,Magento_Catalog
Delete Attribute,مسح السمة,module,Magento_Catalog
Delete image,مسح الصورة,module,Magento_Catalog
Clear All,مسح الكل,module,Magento_Catalog
Required,مطلوب,module,Magento_Catalog
Invalid option id %1,معرف الخيار %1 غير صالحة,module,Magento_Catalog
Attribute Information,معلومات السمة,module,Magento_Catalog
Products Information,معلومات المنتجات,module,Magento_Catalog
URL Key,مفتاح الرابط,module,Magento_Catalog
Comparable on Storefront,مقارنة على واجهة المتجر,module,Magento_Catalog
Compatible File Extensions,ملحقات الملفات المتوافقة,module,Magento_Catalog
label,ملصق,module,Magento_Catalog
Watermark File for %1,ملف العلامة المائية ل %1,module,Magento_Catalog
Product,منتج,module,Magento_Catalog
New Product,منتج جديد,module,Magento_Catalog
Product offline,منتج حاليا,module,Magento_Catalog
Products,منتجات,module,Magento_Catalog
New Products,منتجات جديدة,module,Magento_Catalog
New Products from %1,منتجات جديدة من %1,module,Magento_Catalog
Special Products,منتجات خاصة,module,Magento_Catalog
Related Products,منتجات لها علاقة,module,Magento_Catalog
Low Stock Products,منتجات منخفضة المخزون,module,Magento_Catalog
As low as,منخفضة تصل إلى,module,Magento_Catalog
Websites,مواقع الكترونية,module,Magento_Catalog
Position,موضع,module,Magento_Catalog
Position of Watermark for %1,موقع العلامة المائية ل %1,module,Magento_Catalog
Website,موقع الكتروني,module,Magento_Catalog
Web Site,موقع الكتروني,module,Magento_Catalog
Percent,نسبه مئويه,module,Magento_Catalog
Copy Data from,نسخ البيانات من,module,Magento_Catalog
Text,نص,module,Magento_Catalog
Scope,نطاق,module,Magento_Catalog
System,نظام,module,Magento_Catalog
Yes,نعم,module,Magento_Catalog
Out of Stock,نفذت من المخزون,module,Magento_Catalog
Out of stock,نفذت من المخزون,module,Magento_Catalog
The BuyRequest instance in options group is incorrect.,نموذج طلب البيع في مجموعة الخيارات غير صالح.,module,Magento_Catalog
Type,نوع,module,Magento_Catalog
Input Type,نوع الإدخال,module,Magento_Catalog
Data Type for Saving in Database,نوع البيانات للحفظ في قاعدة البيانات,module,Magento_Catalog
Option Type,نوع الخيار,module,Magento_Catalog
The option type to get group instance is incorrect.,نوع الخيار للحصول على نموذج المجموعة غير صحيح.,module,Magento_Catalog
Unknown link type: %1,نوع الرابط %1 غير معروف,module,Magento_Catalog
Price Type,نوع السعر,module,Magento_Catalog
The option instance type in options group is incorrect.,نوع نموذج الخيار في مجموعة الخيارات غير صحيح.,module,Magento_Catalog
This tab contains invalid data. Please resolve this before saving.,هذا التبويب يحتوي على بيانات غير صالحة. الرجاء حل هذا قبل الحفظ.,module,Magento_Catalog
This is a required option.,هذا الخيار مطلوب.,module,Magento_Catalog
This item has weight,هذا العنصر له وزن,module,Magento_Catalog
This item has no weight,هذا العنصر ليس له وزن,module,Magento_Catalog
This product doesn't exist.,هذا المنتج غير موجود.,module,Magento_Catalog
This product doesn't have tier price,هذا المنتج لا يحتوي على خصم عند شراء كمية,module,Magento_Catalog
This attribute cannot be edited.,هذه السمة لا يمكن تعديلها.,module,Magento_Catalog
This attribute no longer exists.,هذه السمة لم تعد موجودة بعد.,module,Magento_Catalog
This operation can take a long time,هذه العملية يمكن أن تستغرق وقتا طويلا,module,Magento_Catalog
Are you sure?,هل أنت متأكد؟,module,Magento_Catalog
Does this have a weight?,هل يوجد وزن؟,module,Magento_Catalog
There was a category move error. %1,هناك خطأ %1 في نقل الفئة,module,Magento_Catalog
There was a category move error.,هناك خطأ في نقل الفئة.,module,Magento_Catalog
Bad controller interface for showing product,واجهة تحكم سيئة لعرض المنتج,module,Magento_Catalog
and above,وما فوق,module,Magento_Catalog
The filters must be an array.,يجب أن تكون الفلترات صفيف.,module,Magento_Catalog
"The value of attribute ""%1"" must be unique.","يجب ان تكون قيمة السمة ""%1"" فريدة من نوعها",module,Magento_Catalog
Manual,يدوي,module,Magento_Catalog
Please enter a new group name.,يرجى إدخال اسم الجديد للمجموعة.,module,Magento_Catalog
Please enter a valid number in this field.,يرجى إدخال رقم صحيح في هذا الحقل.,module,Magento_Catalog
Please select items.,يرجى تحديد العناصر.,module,Magento_Catalog
Please specify date required option(s).,يرجى تحديد خيارات التاريخ المطلوب.,module,Magento_Catalog
Please specify product's required option(s).,يرجى تحديد خيارات المنتج المطلوب.,module,Magento_Catalog
Please specify time required option(s).,يرجى تحديد خيارات الوقت المطلوب.,module,Magento_Catalog
"Please, specify attributes",يرجى تحديد سمات,module,Magento_Catalog
Please correct the image file type.,يرجى تصحيح نوع ملف الصورة.,module,Magento_Catalog
Please correct the category.,يرجى تصحيح هذه الفئة.,module,Magento_Catalog
Please provide valid data,يرجى تقديم بيانات صحيحة,module,Magento_Catalog
This is used internally. Make sure you don't use spaces or more than %1 symbols.,"يستخدم هذا داخليا, تأكد من عدم استخدام مسافات أو أكثر من %1 حرف",module,Magento_Catalog
Depends on design theme.,يعتمد على موضوع التصميم.,module,Magento_Catalog
ProductSku should be specified,ينبغي تحديد SKU للمنتج,module,Magento_Catalog
Day,يوم,module,Magento_Catalog
Entity type model '%1' is not found, '%1' هذا النوع غير موجود ,module,Magento_CatalogImportExport
"Category ""%1"" has not been created.","Category ""%1"" has not been created.",module,Magento_CatalogImportExport
Entity type model must be an instance of \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType,Entity type model must be an instance of \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType,module,Magento_CatalogImportExport
Entity type model must be an instance of Magento\CatalogImportExport\Model\Import\Product\Type\AbstractType,Entity type model must be an instance of Magento\CatalogImportExport\Model\Import\Product\Type\AbstractType,module,Magento_CatalogImportExport
Every option entity must have a parent product entity.,Every option entity must have a parent product entity.,module,Magento_CatalogImportExport
File '%1' was not found or has read restriction.,File '%1' was not found or has read restriction.,module,Magento_CatalogImportExport
File directory '%1' is not readable.,File directory '%1' is not readable.,module,Magento_CatalogImportExport
File directory '%1' is not writable.,File directory '%1' is not writable.,module,Magento_CatalogImportExport
This name is already being used for custom option. Please enter a different name.,This name is already being used for custom option. Please enter a different name.,module,Magento_CatalogImportExport
Value for 'maximum characters' sub attribute in 'custom_options' attribute contains incorrect value,Value for 'maximum characters' sub attribute in 'custom_options' attribute contains incorrect value,module,Magento_CatalogImportExport
Value for 'price' sub attribute in 'custom_options' attribute contains incorrect value,Value for 'price' sub attribute in 'custom_options' attribute contains incorrect value,module,Magento_CatalogImportExport
Value for 'price' sub attribute in 'store' attribute contains incorrect value,Value for 'price' sub attribute in 'store' attribute contains incorrect value,module,Magento_CatalogImportExport
Value for 'sort order' sub attribute in 'custom_options' attribute contains incorrect value,Value for 'sort order' sub attribute in 'custom_options' attribute contains incorrect value,module,Magento_CatalogImportExport
"Value for 'type' sub attribute in 'custom_options' attribute contains incorrect value, acceptable values are: 'dropdown', 'checkbox'","Value for 'type' sub attribute in 'custom_options' attribute contains incorrect value, acceptable values are: 'dropdown', 'checkbox'",module,Magento_CatalogImportExport
Value for 'value price' sub attribute in 'custom_options' attribute contains incorrect value,Value for 'value price' sub attribute in 'custom_options' attribute contains incorrect value,module,Magento_CatalogImportExport
Custom options have different types.,الخيارات المخصصة لها أنواع مختلفة.,module,Magento_CatalogImportExport
Please enter a value for title.,الرجاء إدخال قيمة للعنوان.,module,Magento_CatalogImportExport
There are no product types available for export.,لا توجد أنواع منتجات متاحة للتصدير.,module,Magento_CatalogImportExport
Please correct the parameters.,يرجى تصحيح المعلمات.,module,Magento_CatalogImportExport
"
                    Please note that these settings apply to individual items in the cart, not to the entire cart.
                ","
                    Please note that these settings apply to individual items in the cart, not to the entire cart.
                ",module,Magento_CatalogInventory
%1 is not a correct comparison method.,%1 ليست طريقة مقارنة صحيحة,module,Magento_CatalogInventory
%1 is available to buy in increments of %2,%1 متاح للشراء بزيادات %2,module,Magento_CatalogInventory
Automatically Return Credit Memo Item to Stock,Automatically Return Credit Memo Item to Stock,module,Magento_CatalogInventory
Decrease Stock When Order is Placed,Decrease Stock When Order is Placed,module,Magento_CatalogInventory
